前 后
冷 热
高 低
高 矮
进 退
死 活
死 生
公 雌
公 私
公 母
快 慢
矛 盾
宽 窄
强 弱
轻 重
轻 沉
缓 急
松 紧
好 坏
好 劣
好 差
好 歹
美 丑
善 恶
是 否
是 非
闲 忙
来 去
分 合
存 亡
动 静
动 止
浓 淡
偏 正
偏 全
饥 饱
爱 恶
爱 恨
升 降
开 合
开 关闭
开 关
开 关上
开 关掉
始 终
胖 瘦
迎 送
盈 亏
真 假
虚 实
有 无
雅 俗
稀 密
稀 稠
粗 细
东 西
巧 拙
恩 仇
恩 怨
新 旧
新 故
正 歪
正 邪
通 堵
止 行
古 今
张 弛
曲 直
亮 暗
亮 黑
亲 干
亲 疏
收 支
收 放
收 送
输 赢
逆 顺
苦 甜
忠 奸
纵 横
得 失
南 北
薄 厚
哭 笑
文 武
文 白
推 拉
问 答
主 仆
买 卖
深 浅
聚 散
聚 分
干 湿
干 枝
彼 此
生 熟
生 师
单 双
首 尾
首 末
你 我
敌 友
警 匪
盛 衰
胜 败
加 减小
加 减
软 硬
阴 阳
反 正
祸 福
信 疑
错 对
藏 露
老 少
断 续
钝 锐
钝 快
雌 雄
醒 睡
咸 淡
正常 异常
非凡 平凡
非凡 平庸
特别 普通
特别 一般
特别 平凡
扫兴 高兴
轻蔑 尊敬
轻蔑 尊重
轻蔑 敬重
开心 难受
开心 苦闷
开心 难过
开心 悲伤
开心 伤心
寻常 罕见
寻常 非常
寻常 特殊
寻常 异常
寻常 特别
寻常 异样
违背 遵守
违背 遵从
违背 遵循
怀疑 笃信
怀疑 相信
怀疑 确信
强盛 衰败
强盛 衰弱
强盛 衰落
强盛 弱小
尊重 轻视
尊重 侮辱
尊重 鄙视
激烈 平稳
激烈 平静
激烈 温和
嘈杂 安静
嘈杂 清静
嘈杂 寂静
美丽 丑陋
信奉 背弃
失信 取信
失信 诚信
失信 守信
率领 追随
退化 进化
凝结 溶化
凝结 熔化
凝结 融解
凝结 融化
凝结 溶解
凝结 离散
伟大 渺小
聚拢 分散
增添 减少
增添 删减
增添 削减
活泼 死板
活泼 呆板
鲜艳 素净
鲜艳 淡雅
鲜艳 暗淡
严寒 酷热
严寒 炎热
严寒 酷暑
严寒 温暖
安谧 嘈杂
安谧 热闹
温暖 凉快
温暖 冰冷
温暖 凉爽
柔和 剧烈
柔和 激烈
柔和 严厉
拒绝 接受
拒绝 同意
清醒 糊涂
清醒 昏迷
荒芜 茂盛
荒芜 茂密
荒芜 耕种
荒芜 繁茂
清晰 浑浊
坚强 软弱
微云 浓云
纯熟 生硬
纯熟 生疏
陌生 熟识
陌生 熟习
陌生 熟悉
平坦 峻峭
平坦 险峻
平坦 崎岖
平坦 坎坷
平坦 凸凹
光滑 粗糙
光滑 毛糙
慎重 马虎
慎重 随便
喜欢 憎恶
喜欢 讨厌
喜欢 厌恶
痛快 难受
幽静 喧闹
幽静 喧嚣
幽静 热闹
刚强 软弱
刚强 怯懦
刚强 懦弱
慌忙 冷静
慌忙 从容
慌忙 镇定
熟识 生疏
伶俐 愚钝
伶俐 笨拙
伶俐 呆板
伶俐 愚笨
伶俐 拙笨
怕羞 大方
镇定 惊慌
镇定 慌张
镇定 慌乱
镇定 紧张
团结 分裂
团结 斗争
羞涩 大方
洒脱 庸俗
洒脱 拘谨
明朗 阴暗
明朗 昏暗
明朗 阴沉
沉重 轻盈
沉重 轻巧
沉重 轻松
迂回 径直
清澈 浑浊
清澈 污浊
脆弱 坚强
饱满 鼓舞
饱满 振奋
饱满 奋发
